awd_id,fiscal_year,awd_amount,dir_abbr,div_abbr,inst_name,code,inst_state_name,tot_intn_awd_amt,diff,state
2236414,2022,8381065.0,EDU,DGE,University of Florida,FL,Florida,2012962.0,-6368103.0,Florida
2236415,2022,5474451.0,EDU,DGE,University of Hawaii,HI,Hawaii,1288234.0,-4186217.0,Hawaii
2236416,2022,1069000.0,EDU,DGE,University of Maine,ME,Maine,184000.0,-885000.0,Maine
2236417,2022,10371039.0,EDU,DGE,"University of Maryland, College Park",MD,Maryland,1986903.0,-8384136.0,Maryland
2236418,2022,4779317.0,EDU,DGE,University of Notre Dame,IN,Indiana,900900.0,-3878417.0,Indiana
2236419,2022,5553841.0,EDU,DGE,University of Oregon Eugene,OR,Oregon,1265676.0,-4288165.0,Oregon
2236421,2022,5230909.0,EDU,DGE,University of Southern California,CA,California,1419808.0,-3811101.0,California
2236422,2022,9499932.0,EDU,DGE,William Marsh Rice University,TX,Texas,2827666.0,-6672266.0,Texas
2236475,2022,14700.0,CSE,CCF,North Carolina State University,NC,North Carolina,14700.0,0.0,North Carolina
2236524,2022,191687.0,O/D,OISE,"Board of Regents, NSHE, obo University of Nevada, Reno",NV,Nevada,191687.0,0.0,Nevada
2236565,2022,142140.0,ENG,ECCS,University of Georgia Research Foundation Inc,GA,Georgia,183000.0,40860.0,Georgia
2236620,2022,44473.0,MPS,AST,University of Texas at Austin,TX,Texas,44473.0,0.0,Texas
2236626,2022,118691.0,MPS,CHE,University Industry Demonstration Partnership,SC,South Carolina,99503.0,-19188.0,South Carolina
2236637,2022,701750.0,EDU,DGE,George Mason University,VA,Virginia,144000.0,-557750.0,Virginia
2236662,2022,29418833.0,EDU,DGE,University of Pennsylvania,PA,Pennsylvania,5402772.0,-24016061.0,Pennsylvania
2236700,2022,300000.0,CSE,CNS,Massachusetts Institute of Technology,MA,Massachusetts,300000.0,0.0,Massachusetts
2236704,2022,357455.0,MPS,DMR,Worcester Polytechnic Institute,MA,Massachusetts,357455.0,0.0,Massachusetts
2236724,2022,32925.0,ENG,CBET,Biomedical Engineering Society,NY,New York,32925.0,0.0,New York
2236749,2022,49517.0,CSE,IIS,Georgia Tech Research Corporation,GA,Georgia,49517.0,0.0,Georgia
2236811,2022,304558.0,TIP,TI,National Collegiate Inventors and Innovators Alliance,MA,Massachusetts,304558.0,0.0,Massachusetts
2236868,2022,3634497.0,EDU,DGE,Dartmouth College,NH,New Hampshire,460000.0,-3174497.0,New Hampshire
2236869,2022,5639101.0,EDU,DGE,University of Georgia,GA,Georgia,1225517.0,-4413584.0,Georgia
2236870,2022,1698304.0,EDU,DGE,University of Illinois at Chicago,IL,Illinois,235666.0,-1462638.0,Illinois
2236879,2022,299337.0,ENG,ECCS,University of Connecticut,CT,Connecticut,299337.0,0.0,Connecticut
2237004,2022,300000.0,ENG,ECCS,Washington University,MO,Missouri,300000.0,0.0,Missouri
2237325,2022,50000.0,TIP,TI,Massachusetts Institute of Technology,MA,Massachusetts,50000.0,0.0,Massachusetts
2237340,2022,10000.0,CSE,CCF,"AUGUSTA UNIVERSITY RESEARCH INSTITUTE, INC.",GA,Georgia,10000.0,0.0,Georgia
2237398,2022,504000.0,EDU,DGE,Icahn School of Medicine at Mount Sinai,NY,New York,92000.0,-412000.0,New York
2237520,2022,281037.0,GEO,AGS,University Corporation For Atmospheric Res,CO,Colorado,281037.0,0.0,Colorado
2237748,2022,0.0,IRM,HRM,OFFICE OF PERSONNEL MANAGEMENT,PA,Pennsylvania,68478.0,68478.0,Pennsylvania
2237827,2022,15931077.0,EDU,DGE,University of Minnesota-Twin Cities,MN,Minnesota,3820720.0,-12110357.0,Minnesota
2237847,2022,35480.0,GEO,OPP,University of Maryland Center for Environmental Sciences,MD,Maryland,35480.0,0.0,Maryland
2238064,2022,300000.0,CSE,OAC,University of Utah,UT,Utah,300000.0,0.0,Utah
2238131,2022,42397.0,MPS,DMS,Louisiana State University,LA,Louisiana,122813.0,80416.0,Louisiana
2238231,2022,87287.0,MPS,DMR,University of Chicago,IL,Illinois,87287.0,0.0,Illinois
2238458,2022,360000.0,EDU,DGE,Brigham Young University,UT,Utah,46000.0,-314000.0,Utah
2238905,2022,50000.0,TIP,TI,University of California-Los Angeles,CA,California,50000.0,0.0,California
2239063,2022,2526583.0,EDU,DGE,University of Kentucky Research Foundation,KY,Kentucky,368000.0,-2158583.0,Kentucky
2239226,2022,445000.0,MPS,CHE,Arizona State University,AZ,Arizona,445000.0,0.0,Arizona
2239610,2022,25000.0,CSE,CCF,Duke University,NC,North Carolina,25000.0,0.0,North Carolina
2239639,2022,292630.0,BIO,MCB,Washington University,MO,Missouri,1190764.0,898134.0,Missouri
2239682,2022,148000.0,EDU,DGE,Cleveland State University,OH,Ohio,46000.0,-102000.0,Ohio
2240191,2022,46000.0,CSE,CCF,Stanford University,CA,California,138000.0,92000.0,California
2240192,2022,46000.0,CSE,CCF,University of California-Berkeley,CA,California,138000.0,92000.0,California
2240195,2022,46000.0,CSE,CCF,University of Chicago,IL,Illinois,138000.0,92000.0,Illinois
2240196,2022,46000.0,CSE,CCF,University of Colorado at Boulder,CO,Colorado,138000.0,92000.0,Colorado
2240197,2022,46000.0,CSE,CCF,University of Minnesota-Twin Cities,MN,Minnesota,138000.0,92000.0,Minnesota
2240198,2022,46000.0,CSE,CCF,University of Southern California,CA,California,138000.0,92000.0,California
2240199,2022,46000.0,CSE,CCF,University of Texas at Austin,TX,Texas,138000.0,92000.0,Texas
2240204,2022,46000.0,CSE,CCF,University of California-Santa Cruz,CA,California,138000.0,92000.0,California
2240205,2022,46000.0,CSE,CCF,Virginia Polytechnic Institute and State University,VA,Virginia,138000.0,92000.0,Virginia
2240206,2022,46000.0,CSE,CCF,William Marsh Rice University,TX,Texas,138000.0,92000.0,Texas
2240207,2022,46000.0,CSE,CCF,Yale University,CT,Connecticut,138000.0,92000.0,Connecticut
2240211,2022,236310.0,ENG,CMMI,Virginia Polytechnic Institute and State University,VA,Virginia,500000.0,263690.0,Virginia
2240222,2022,24999.0,CSE,CNS,Georgia Tech Research Corporation,GA,Georgia,24999.0,0.0,Georgia
2240232,2022,15000.0,CSE,CNS,University of Chicago,IL,Illinois,15000.0,0.0,Illinois
2240234,2022,98384.0,MPS,PHY,University of Chicago,IL,Illinois,512507.0,414123.0,Illinois
2240235,2022,46000.0,CSE,CCF,University of Washington,WA,Washington,138000.0,92000.0,Washington
2240236,2022,46000.0,CSE,CCF,Toyota Technological Institute at Chicago,IL,Illinois,138000.0,92000.0,Illinois
2240237,2022,148000.0,EDU,DGE,Florida Institute of Technology,FL,Florida,46000.0,-102000.0,Florida
2240238,2022,144000.0,EDU,DGE,University of Minnesota Duluth,MN,Minnesota,46000.0,-98000.0,Minnesota
