awardeeName,count_total,total_obligated_funds
Central Michigan University,20,6453153
Central New Mexico Community College,1,1039185
Central State University,16,5398672
Central Virginia Community College,1,464846
Central Washington University,11,2386905
Central Wyoming College,1,349804
Centre College of Kentucky,1,260000
Chabot College,2,998336
"Chaidez, Julian Cruz",1,150000
Chaminade University of Honolulu,3,12527116
Champlain College Incorporated,1,399995
"Chaney, Carlye",2,320000
Changing Expectations Corp,1,1616024
Chapman University,14,3401331
"Chappell, Callie Rodgers",1,240000
Charmtech Labs LLC,2,2530044
"Chase, Danielle Lee",2,480000
Chatham College,5,1540224
Chemeketa Community College,1,199994
"Chen, Nathan",1,150000
"Chen, Sitan",1,150000
Chesapeake College,1,317035
Chicago Children's Museum,1,787042
Chicago Horticultural Society,2,1552505
Chicago State University,13,11151419
Chicago Zoological Society,2,475510
Chico State Enterprises,17,3230841
Chief Dull Knife Memorial College,1,4200000
Child Trends Inc,1,2082668
Children's Hospital Corporation,5,3254525
Children's Hospital Los Angeles,1,600000
Children's Research Institute,2,100000
Chippewa Valley Technical College,3,1887868
Christopher Newport University,12,4497973
"Ciesla, Jessica H",1,240000
Citadel Military College of South Carolina,8,7465574
Citrus Community College District,1,749983
City Colleges of Chicago Harold Washington College,2,2000000
City Colleges of Chicago Harry S Truman College,3,1549415
Claflin University,4,1676563
Clairways LLC,2,3398270
Claremont Graduate University,2,690957
Claremont McKenna College,7,3091948
Clark Atlanta University,18,25227915
Clark University,17,7737211
"Clark, Meaghan I",1,240000
Clarkson University,29,12557333
Clayton College and State University,2,262144
Clemson University,148,94700713
Cleveland Clinic Foundation,1,289962
Cleveland State Community College,1,298289
Cleveland State University,21,11854978
Clover Park Technical College,1,295285
Coastal Carolina University,6,2415806
Coastal and Estuarine Research Federation,1,1736883
Code for Science and Society Inc,1,299474
CodeVA,5,8980841
Coe College,2,1064737
Coker College,1,1349732
Colby College,8,3158268
Cold Spring Harbor Laboratory,11,17835579
Colgate University,19,5655240
College of Alameda,1,399047
College of Central Florida,2,1287196
College of Charleston,20,5838381
College of Lake County,2,1993696
College of Our Lady of the Elms,1,1500000
College of Saint Benedict,1,89562
College of Saint Mary,1,1505943
College of Saint Scholastica,1,41694
College of Southern Maryland,2,600000
College of Southern Nevada,3,968330
College of William & Mary Richard Bland College,2,800000
College of William & Mary Virginia Institute of Marine Science,11,7335865
College of William and Mary,66,25145630
College of Wooster,5,1811146
College of the Canyons,4,2292708
College of the Holy Cross,6,2528799
College of the Menominee Nation,2,399998
Collin County Community College,2,893704
Colorado College,9,2356439
Colorado Mesa University,1,60971
Colorado School of Mines,111,81772495
Colorado State University,227,124792340
Colorado State University-Pueblo,8,3297174
Columbia Basin College,1,200000
Columbia State Community College,1,349736
Columbia University,369,299578569
Columbus State Community College,5,13262014
Columbus State University,3,7181913
"Comerford, Mattheau S",1,240000
Community College of Aurora,1,995631
Community College of Philadelphia,3,1546474
Computational Physics Inc,3,1334068
Computing Research Association,9,134349905
Concord Consortium,16,23823632
Concord University,5,2259037
Concordia College at Moorhead,3,4900000
"Conley, Sarah A",1,178242
Connecticut College,2,455917
Consortium of Universities for the Advancement of Hydrologic Sci,3,35613766
Contra Costa Community College District,1,545733
Cooper Union,1,52394
Coppin State University,5,687446
"Coreas, Roxana",1,240000
Cornell University,383,490222026
Corning Community College,2,996275
Corporation for Education Network Initiatives in California,1,4870829
"Corsa, Brianna Durelle",1,180000
"Corsha, Inc.",2,1989134
"Cortes, Jorge Ivan",2,600000
Cossatot Technical College,1,195900
"Cotner, Sean",2,380000
Council of Graduate Schools,7,15061737
Council of Independent Colleges,2,367692
"Couper, Lisa",1,240000
"Creedon, Ryan Patrick",1,190000
Creighton University,8,2320519
"Crocker, Daniel",1,202000
Crow Canyon Archaeological Center,1,362810
Cuesta College,2,600000
"Culha, Cansu",2,360000
"Cunningham, William Streit",1,200000
"Curran, Joseph B",1,160000
Curry College,2,783092
Cuyahoga Community College,1,330612
D'Youville College,1,748250
DARCY SOLUTIONS INC.,1,1495074
DASION CORPORATION,1,999988
DATA ELEVATE LLC,1,1775385
DAYZERO WATER LLC,1,304950
"DEBATER HUB, LLC",2,590000
DEEPBITS TECHNOLOGY LLC,1,273383
DEEPSEQAI LLC,1,274797
"DEFINED BIOSCIENCE, INC.",1,294995
DELAQUA PHARMACEUTICALS INC,1,275000
"DELAWARE MUSEUM OF NATURE AND SCIENCE, INC.",1,491014
DENCODA LLC,1,274990
DIAMOND AGE TECHNOLOGY LLC,1,1005757
"DIFFRACT TECHNOLOGY, INC.",1,1000000
"DIGITAL BAZAAR, INC.",1,499696
DINYA DNA LLC,1,275000
DMAG USA LLC,1,275000
DOANE UNIVERSITY,3,2300000
"DUET BIOSYSTEMS, INC",1,284736
"DYNOCARDIA, INC.",1,999553
"Dahlin, Kyle Joseph-Marley",1,300000
Dakota College at Bottineau,1,349159
Dakota State University,4,7355207
"Dalal, Rahul",2,300000
Dallas College,1,640677
Dana-Farber Cancer Institute,1,350000
Dartmouth College,105,73971875
Data & Society Research Institute,2,600000
Davenport University,1,647527
David Lipscomb University,2,399962
"David, Kyle T",1,240000
Davidson College,11,3392322
"Davis, Julie",1,240000
"De Furio, Matthew",1,330000
DePaul University,12,6655816
"DeSimone, Joely",1,240000
"DeTar, Rachael Ann",1,192500
"Deem, Kevin D",1,240000
"Defant, Colin",1,150000
Del Mar College,1,394859
Delaware State University,20,13218683
Delaware Valley University,1,748577
Denison University,4,1537808
Denver Museum of Nature and Science,1,18156
Department of Defense,1,262986928
Department of the Navy Naval Sea Systems Command,1,840000
Des Moines Area Community College,2,700000
"DesJardins, Nicole S",1,240000
Desert Botanical Garden,3,1684768
"Devadas, Sheela",1,150000
Development Gateway,1,1124598
"Dhillon, Gurbir S",1,150000
Dickinson College,6,1463231
Digital Harbor Foundation,1,1274308
Digital Promise Global,10,11958142
Dillard University,4,1929392
Dine College,3,600000
"Ding, David",2,498000
"Dinkins, Hunter G",1,190000
District of Columbia Public Schools,1,312300
"Domat, George",1,190000
Dominican University,4,1456822
Dona Ana Branch Community College,1,500000
Donald Danforth Plant Science Center,27,47783974
"Dordt University, Incorporated",6,2891698
"Dowdell, Katherine",1,173332
Drake University,4,988513
Drexel University,92,58626141
"Drone Amplified, Inc.",1,1459606
"Duff, Timothy",1,150000
Duke University,229,250356891
Duquesne University,5,2255751
Durham Technical Community College,1,288951
EARTH IMAGES FOUNDATION,1,299920
EARTHEN CARBON LLC,1,274390
EARTHEN INC.,2,549446
EARTHSCOPE CONSORTIUM INC.,9,2735345
EARTHSHOT Labs PBC,1,897042
"EASCRA BIOTECH, INC.",1,274990
EAST TEXAS A&M UNIVERSITY,9,7421211
"EASTIE FARM, INC.",2,2000000
ECATE LLC,1,274976
ECHOICS,1,275000
"ECLIPSE ENTEROGENESIS, INC.",2,2940716
EDNA INC.,2,550000
"ELATEQ, INC.",2,1999206
ELITE NEURO INC,2,610000
"ELLISON INSTITUTE, LLC",2,1537428
"EMERALD TUTU INC, THE",1,997503
EMODE PHOTONIX LLC,2,610000
"EMPALLO, INC.",1,275000
"EMPIRI, INC.",1,274930
"EMTRUTH, INC.",1,1007658
"EMVOLON, INC.",1,1500000
ENCOORD INC,1,274375
ENCORE CO2 LLC,2,550000
"ENVISION ENDOSCOPY, INC.",1,1499952
ENVISION HEALTH TECHNOLOGIES INC,1,275000
ENVIVO BIO INC,2,3332646
"EPIDAURUS HEALTH, INC.",2,2000000
"EPIImaging, LLC",1,1015407
ETR Associates,1,1299488
"EUGIT THERAPEUTICS, INC.",1,275000
"EVOLVE GENOMIX, INC.",1,270128
EXOPOWER INC.,1,251522
"EYEDEA MEDICAL, INC",1,1000000
"EYSZ, INC.",1,1197153
"Earl, Alexis D",2,480000
Earlham College,1,747247
"Earth Mapping International, Inc.",1,294979
East Carolina University,30,15445851
East Central University,3,425462
East Stroudsburg University of Pennsylvania,1,4982181
East Tennessee State University,1,958190
Eastern Illinois University,1,250000
Eastern Kentucky University,4,1687523
Eastern Mennonite University,2,2976056
Eastern Michigan University,5,1350802
Eastern New Mexico University Main Campus,3,877249
Eastern Oregon University,1,356874
Eastern Washington University,5,1943221
Eckerd College,4,1397362
EcoAdapt,1,1191428
Ecological Society of America,3,3186458
Edgecombe Community College,2,612472
Edmonds Community College,1,500000
Ednovo,1,499898
Education Connection,8,16903303
Education Development Center,14,23766419
Educational Testing Service,4,4498250
Edward Waters College,1,179999
"Edwards, Joseph",2,480000
"Edwards, Julie",1,202000
El Camino College,2,1193908
El Paso County Community College,1,349990
Elizabeth City State University,8,7793516
Elizabethtown College,3,1768206
"Elliott Smith, Rosemary",1,190000
"Ellison, Erika",1,249000
Elmhurst University,3,2747349
Elon University,1,312098
Emagine Solutions Technology,1,1176040
Embry-Riddle Aeronautical University,44,17433703
Emerson College,1,70194
Emmanuel College,3,878754
Emory University,83,54140902
"Endangered Language Fund, Inc.",3,332863
Erie Community College,1,649647
"Evans, Taylor C",2,480000
Everett Community College,2,1889428
Evergreen State College,1,161427
Evergreen Valley College,1,749844
Exploratorium,3,8002428
FEATHER RIVER COMMUNITY COLLEGE DISTRICT,2,1500000
"FEMTOSENSELABS, LLC",1,274786
"FIGURE 8, INC.",2,589844
"FINIKS FORGE, INC.",2,550000
FIRELINE SCIENCE LLC,2,2033566
"FLEX ORTHOPAEDICS, INC.",1,274997
"FLO MATERIALS, INC.",1,275000
"FLORIDA ASSOCIATION FOR NANOBIOTECHNOLOGY, INC",1,10000
"FORAGR MEDICINES, INC",1,275000
FORCHUN LLC,1,294958
"FORSEE, LLC",1,295000
FOURIER LLC,2,590000
FPF Education and Innovation Foundation,2,980266
FRED HUTCHINSON CANCER CENTER,1,120511
"FREYYA, INC.",1,275000
FRINGE METROLOGY LLC,1,274769
FRONTLINE BIOTECHNOLOGIES INC.,2,2389438
"FROSTDEFENSE ENVIROTECH, INC.",1,995228
"FUM TECHNOLOGIES, INC",1,275000
FUTURE EARTH,3,5205632
"Fairbanks, Dawson E",1,180000
Fairfield University,7,1648715
Fairleigh Dickinson University,4,2179987
Fairmont State University,1,2486937
Farallon Institute for Advanced Ecosystem Research,2,972486
"Farleigh, Keaka",1,240000
"Farrar, Victoria S",1,240000
Fayetteville State University,16,8596245
Federation of Amer Societies For Exper Biology,1,16000
Federation of American Scientists,1,322000
"Felician University, A New Jersey Nonprofit Corporation",3,1533682
Ferris State University (Inc.),5,1445888
"Fetrow, Anne C",1,180000
"Fettrow, Sean",1,180000
Field Museum of Natural History,14,4870759
Fielding Graduate University,1,887512
"Finocchiaro, Jessica J",2,300000
Fisk University,12,13041503
"Fitch, Amelia A",1,180000
Fitchburg State University,1,55488
Florence-Darlington Technical College,1,989113
Florida Agricultural and Mechanical University,53,42515167
Florida Atlantic University,43,22623232
Florida Gulf Coast University,9,1931224
Florida Institute of Technology,23,5504607
Florida International University,124,88970569
Florida Memorial University,3,1998548
Florida Polytechnic University,4,1038992
Florida Southern College,2,211176
Florida State College at Jacksonville,8,4867702
Florida State University,167,96026269
Fond du Lac Tribal and Community College,1,74643
Foothill-De Anza Community College District,1,525793
Fordham University,15,5880284
"Forer, Joshua",1,330000
Forsyth Technical Community College,3,1813382
Fort Hays State University,3,1000568
Fort Lewis College,11,14689127
Fort Valley State University,2,3649160
"Fortiphyte, Inc.",1,991857
"Foundation for Applied Molecular Evolution, Inc.",1,1374132
"Fowler, Joshua Clark",1,240000
"Fox, Maria",2,300000
Framingham State University,1,1122960
Francis Marion University,2,120356
Franklin County Historical Society,1,1673758
Franklin W. Olin College of Engineering,5,1092345
Franklin and Marshall College,14,4086745
"Franklin, Emily Barnes",1,300000
"Frans, Veronica Felicia",1,240000
"Fraser, Adrian E",1,330000
"Frayer, Megan E",1,240000
"Frechette, Claire E",1,150000
