inst_name,code,num_grants,state
One Million Metrics Corp,NY,1,New York
"Onyango, Evans Awere",NM,1,New Mexico
"Opie, Morgan P",MA,1,Massachusetts
"OptiPulse, Inc",NM,1,New Mexico
"Optimeos Life Sciences, Inc.",NJ,2,New Jersey
Oral Roberts University,OK,1,Oklahoma
"Oravec, Madeline W.",MN,1,Minnesota
"Ordog, Erika Anastasia",NC,1,North Carolina
Oregon Health & Science University,OR,15,Oregon
Oregon Institute of Technology,OR,2,Oregon
Oregon Museum of Science and Industry,OR,3,Oregon
Oregon Research Institute,OR,5,Oregon
Oregon State University,OR,419,Oregon
"Orosz, Florencia",CO,1,Colorado
"Otoo, Benjamin K",IL,1,Illinois
Otterbein College,OH,4,Ohio
Ouachita Baptist University,AR,1,Arkansas
Our Lady of the Lake University,TX,2,Texas
"Ouyang, Charles",TX,1,Texas
"Ouyang, Zhimeng",CA,1,California
"Ovans, Zoe",PA,1,Pennsylvania
Owens State Community College,OH,1,Ohio
Owensboro Community & Technical College,KY,1,Kentucky
Ozarks Technical Community College,MO,1,Missouri
PALANQUIN POWER INC,CO,1,Colorado
"PALENA THERAPEUTICS, INC.",MA,1,Massachusetts
PANDA INDUSTRIES INC.,FL,1,Florida
PANGEA CHAT LLC,VA,2,Virginia
PANGEA LLC,TN,1,Tennessee
"PARADIGM OF NY, LLC",NY,1,New York
PARADOCS HEALTH INC.,TX,1,Texas
"PARALLEL FLIGHT TECHNOLOGIES, INC.",CA,1,California
"PARALLEL PIPES, LLC",MA,1,Massachusetts
"PARAMITA THERAPEUTICS, INC.",CA,1,California
PARAMIUM TECHNOLOGIES LLC,AZ,2,Arizona
PARAMOUNT PLANET PRODUCT,ME,2,Maine
PARISI TECHNOLOGIES LLC,OR,1,Oregon
"PARKVIEW HOSPITAL, INC.",IN,1,Indiana
"PARTHIAN BATTERY SOLUTIONS, LLC",WV,1,West Virginia
"PARTICLE4X, INC.",MN,1,Minnesota
PARTILLION BIOSCIENCE CORPORATION,CA,1,California
PASCAL TAGS INC,KY,1,Kentucky
PATHFLOW INC.,MA,1,Massachusetts
PATHOTRAK INC.,DE,2,Delaware
PBS FOUNDATION,VA,1,Virginia
"PEARL BIO, INC.",MA,1,Massachusetts
"PEARL STREET TECHNOLOGIES, INC.",PA,1,Pennsylvania
"PEARNETS, INC.",IL,1,Illinois
PECAN STREET INC.,TX,3,Texas
PENNSYLVANIA WESTERN UNIVERSITY,PA,4,Pennsylvania
PERATON LABS INC,NJ,1,New Jersey
PERAWATT ENERGY INC.,CA,1,California
PERCEPT BIOSCIENCES INC.,CA,1,California
"PERCEPTRA TECHNOLOGIES, INC.",CA,1,California
"PERCEUS, INC.",CA,1,California
PERCEV LLC,IA,2,Iowa
"PERSEUS MATERIALS, INC.",TN,1,Tennessee
PETL FLUIDICS LLC,NY,1,New York
PHAGE REFINERY LLC,TX,1,Texas
PHARMACOUSTICS TECHNOLOGIES LLC,NY,2,New York
"PHAXTEC, INC.",NC,2,North Carolina
"PHENOTARGET BIOSCIENCES, INC.",CA,1,California
"PHLUX TECHNOLOGIES, INC.",PA,2,Pennsylvania
PHOENIX WASTE SOLUTIONS INC.,LA,2,Louisiana
"PHORESIS, INC.",NJ,1,New Jersey
PHOSIO CORPORATION,OR,1,Oregon
"PHOTOCIDE PROTECTION, INC.",NC,1,North Carolina
PHOTONECT INTERCONNECT SOLUTIONS INC,NY,2,New York
"PHOTONLAB, INC.",CA,1,California
PHYTOSTONE LLC,NY,1,New York
PHYTUNES INC,CA,2,California
PI RADIO INC,NY,1,New York
PICOLO LABS INC,WY,1,Wyoming
"PIERSICA, INC.",FL,2,Florida
